"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"23/01/2023","GCB","3.94","3.94","3.94","3.94","3.94","3.94","0","","3.94","486.00","1,914.84"
"23/01/2023","GGBL","2.05","2.05","2.05","2.05","2.05","2.05","0","","2.05","0.00","0.00"
"23/01/2023","GLD","250.00","217.80","246.75","246.75","246.75","246.75","0","","","0.00","0.00"
"23/01/2023","GOIL","1.72","1.71","1.71","1.71","1.71","1.71","0","","1.71","13.00","22.23"
"23/01/2023","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0","","","0.00","0.00"
"23/01/2023","IIL","0.04","0.04","0.04","0.04","0.04","0.04","0","","","0.00","0.00"
"23/01/2023","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0","","","0.00","0.00"
"23/01/2023","MMH","0.11","0.11","0.11","0.11","0.11","0.11","0","","0.11","0.00","0.00"
"23/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.80","0.88","2,142.00","1,884.96"
"23/01/2023","PBC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"23/01/2023","POP","0.68","0.68","0.68","0.68","0.68","0.68","0","","","0.00","0.00"
"23/01/2023","RBGH","0.54","0.54","0.54","0.54","0.54","0.54","0","","0.54","0.00","0.00"
"23/01/2023","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0","0.55","","0.00","0.00"
"23/01/2023","SCB","20.16","20.16","20.16","20.16","20.16","20.16","0","","19.95","0.00","0.00"
"23/01/2023","SCB PREF","0.90","0.90","0.90","0.90","0.90","0.90","0","0.90","","0.00","0.00"
"23/01/2023","SIC","0.31","0.31","0.31","0.31","0.31","0.31","0","","0.31","0.00","0.00"
"23/01/2023","SOGEGH","1.00","1.00","1.00","1.00","1.00","1.00","0","","1.00","0.00","0.00"
"23/01/2023","SWL","0.05","0.05","0.05","0.05","0.05","0.05","0","","","0.00","0.00"
"23/01/2023","TBL","0.80","0.80","0.80","0.80","0.80","0.80","0","0.80","","0.00","0.00"
"23/01/2023","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0","","11.92","0.00","0.00"
"23/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.05","","0.00","0.00"
"23/01/2023","UNIL","3.88","2.85","2.85","2.85","2.85","2.85","0","2.85","3.00","545.00","1,553.25"
"20/01/2023","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.00","0.00"
"20/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","2.00","8.02"
"20/01/2023","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0","","5.06","0.00","0.00"
"20/01/2023","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0","37.00","","0.00","0.00"
"20/01/2023","ALW","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.00","0.00"
"20/01/2023","ASG","8.87","8.87","8.87","8.87","8.87","8.87","0","","","0.00","0.00"
"20/01/2023","BOPP","8.00","7.65","8.00","8.00","8.00","8.00","0","8.00","","0.00","0.00"
"20/01/2023","CAL","0.65","0.58","0.60","0.60","0.58","0.58","-0.02","","0.60","45,229.00","26,272.42"
"20/01/2023","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0","","0.03","6,635.00","199.05"
"20/01/2023","CMLT","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.00","0.00"
"20/01/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"20/01/2023","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0","","0.40","75.00","30.00"
"20/01/2023","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0","","0.09","0.00","0.00"
"20/01/2023","EGH","6.64","6.64","6.64","6.64","6.64","6.64","0","","6.40","3.00","19.20"
"20/01/2023","EGL","3.20","3.20","3.20","3.20","3.20","3.20","0","","3.15","0.00","0.00"
"20/01/2023","ETI","0.15","0.15","0.15","0.15","0.15","0.15","0","","0.15","1.00","0.15"
"20/01/2023","FML","3.00","3.00","3.00","3.00","3.00","3.00","0","","3.00","0.00","0.00"
"20/01/2023","GCB","3.94","3.94","3.94","3.94","3.94","3.94","0","","3.94","262,620.00","1,034,722.80"
"20/01/2023","GGBL","2.05","2.05","2.05","2.05","2.05","2.05","0","","2.05","0.00","0.00"
"20/01/2023","GLD","250.00","217.80","250.00","250.00","246.57","246.75","-3.25","","","399.00","98,453.25"
"20/01/2023","GOIL","1.72","1.71","1.71","1.71","1.71","1.71","0","","1.71","60.00","102.60"
"20/01/2023","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0","","","0.00","0.00"
"20/01/2023","IIL","0.04","0.04","0.04","0.04","0.04","0.04","0","","","0.00","0.00"
"20/01/2023","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0","","","0.00","0.00"
"20/01/2023","MMH","0.11","0.11","0.11","0.11","0.11","0.11","0","","0.11","0.00","0.00"
"20/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.86","0.88","3,241.00","2,852.08"
"20/01/2023","PBC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.00","0.00"
"20/01/2023","POP","0.68","0.68","0.68","0.68","0.68","0.68","0","","","0.00","0.00"
"20/01/2023","RBGH","0.54","0.54","0.54","0.54","0.54","0.54","0","","0.54","10.00","5.40"
"20/01/2023","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0","0.55","","0.00","0.00"
"20/01/2023","SCB","20.16","20.16","20.16","20.16","20.16","20.16","0","","19.95","0.00","0.00"
"20/01/2023","SCB PREF","0.90","0.90","0.90","0.90","0.90","0.90","0","0.90","","0.00","0.00"
"20/01/2023","SIC","0.31","0.31","0.31","0.31","0.31","0.31","0","","0.31","2.00","0.62"
"20/01/2023","SOGEGH","1.00","1.00","1.00","1.00","1.00","1.00","0","","1.00","1.00","1.00"
"20/01/2023","SWL","0.05","0.05","0.05","0.05","0.05","0.05","0","","","0.00","0.00"
"20/01/2023","TBL","0.80","0.80","0.80","0.80","0.80","0.80","0","0.80","","0.00","0.00"
"20/01/2023","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0","","11.92","0.00","0.00"
"20/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.02","","0.00","0.00"
"20/01/2023","UNIL","3.88","2.85","2.85","2.85","2.85","2.85","0","2.85","3.00","0.00","0.00"
"19/01/2023","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.00","0.00"
"19/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"19/01/2023","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0","","5.06","0.00","0.00"
"19/01/2023","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0","37.00","","0.00","0.00"
"19/01/2023","ALW","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.00","0.00"
"19/01/2023","ASG","8.87","8.87","8.87","8.87","8.87","8.87","0","8.87","","0.00","0.00"
"19/01/2023","BOPP","8.00","7.65","8.00","8.00","8.00","8.00","0","8.00","","0.00","0.00"
"19/01/2023","CAL","0.65","0.60","0.60","0.60","0.60","0.60","0","0.58","0.60","1,211.00","726.60"
"19/01/2023","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0","0.03","","0.00","0.00"
"19/01/2023","CMLT","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.00","0.00"
"19/01/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","2,020.00","40.40"
"19/01/2023","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0","","0.40","0.00","0.00"
